CTT,Pagine,Y
450,50k,7.733891892192214
450,50k,7.769287158184685
450,50k,7.770754413055312
450,50k,7.748794631946142
450,50k,7.772481304932387
450,150k,7.772438123281202
450,150k,7.773301847478817
450,150k,7.772438123281202
450,150k,7.772438123281202
450,150k,7.771574591006305
450,500k,7.772438123281202
450,500k,7.771574591006305
450,500k,7.772394942109824
450,500k,7.771660935599096
450,500k,7.772481304932387
900,50k,15.277013927081425
900,50k,15.258652772608858
900,50k,15.277523152391906
900,50k,15.241988790694833
900,50k,15.278711476812472
900,150k,15.279815086455972
900,150k,15.271373812565969
900,150k,15.271543486956135
900,150k,15.279305708348613
900,150k,15.277013927081425
900,500k,15.269803547036549
900,500k,15.271543486956135
900,500k,15.06248264371008
900,500k,15.269633972992182
900,500k,15.278796364202059
1350,50k,21.88487666150095
1350,50k,21.93267463107675
1350,50k,21.93321148215843
1350,50k,21.909407046118634
1350,50k,21.921247944535796
1350,150k,21.881509874177155
1350,150k,21.911919084198423
1350,150k,21.91038076508561
1350,150k,21.89768857731684
1350,150k,21.93260224659178
1350,500k,18.4007155833838
1350,500k,18.004346835203805
1350,500k,16.007470152737945
1350,500k,15.412224216193392
1350,500k,15.284655872920592
