timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636454630680,16,Medium text upload 3,200,OK,Synthetic WL 4 static types 1-1,text,true,,159,154033,2,2,http://192.168.1.80:5000/upload,16,0,1
1636454630690,9,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-2,text,true,,159,154068,2,2,http://192.168.1.80:5000/upload,9,0,1
1636454630709,4,Medium text download 3,200,OK,Synthetic WL 4 static types 1-3,text,true,,153876,134,3,3,http://192.168.1.80:5000/volume/150.txt,3,0,1
1636454630729,2,Medium text download 3,200,OK,Synthetic WL 4 static types 1-4,text,true,,153876,134,4,4,http://192.168.1.80:5000/volume/150.txt,1,0,0
1636454630748,4,Medium binary download 3,200,OK,Synthetic WL 4 static types 1-5,text,true,,153875,134,5,5,http://192.168.1.80:5000/volume/150.bin,3,0,1
1636454630776,9,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-6,text,true,,159,154071,6,6,http://192.168.1.80:5000/upload,8,0,1
1636454630799,24,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-7,text,true,,159,154071,8,8,http://192.168.1.80:5000/upload,23,0,1
1636454630809,20,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-8,text,true,,159,154068,8,8,http://192.168.1.80:5000/upload,20,0,1
1636454630830,15,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-9,text,true,,159,154059,9,9,http://192.168.1.80:5000/upload,15,0,1
1636454630849,14,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-10,text,true,,159,154056,10,10,http://192.168.1.80:5000/upload,14,0,1
1636454630870,136,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-11,text,true,,159,154059,17,17,http://192.168.1.80:5000/upload,136,0,1
1636454630869,157,Medium binary download 3,200,OK,Synthetic WL 4 static types 1-1,text,true,,153875,134,18,18,http://192.168.1.80:5000/volume/150.bin,42,0,1
1636454630892,137,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-12,text,true,,159,154050,18,18,http://192.168.1.80:5000/upload,137,0,1
1636454630910,202,Medium binary download 3,200,OK,Synthetic WL 4 static types 1-13,text,true,,153875,134,23,23,http://192.168.1.80:5000/volume/150.bin,38,0,1
1636454630950,174,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-15,text,true,,159,154047,23,23,http://192.168.1.80:5000/upload,174,0,1
1636454630891,235,Medium text download 3,200,OK,Synthetic WL 4 static types 1-2,text,true,,153876,134,23,23,http://192.168.1.80:5000/volume/150.txt,49,0,1
1636454630990,142,Medium text upload 3,200,OK,Synthetic WL 4 static types 1-17,text,true,,159,154039,24,24,http://192.168.1.80:5000/upload,142,0,1
1636454630970,170,Medium text download 3,200,OK,Synthetic WL 4 static types 1-16,text,true,,153876,134,24,24,http://192.168.1.80:5000/volume/150.txt,75,0,0
1636454630932,208,Medium text download 3,200,OK,Synthetic WL 4 static types 1-14,text,true,,153876,134,24,24,http://192.168.1.80:5000/volume/150.txt,95,0,1
1636454631008,205,Medium text upload 3,200,OK,Synthetic WL 4 static types 1-3,text,true,,159,154033,28,28,http://192.168.1.80:5000/upload,205,0,1
1636454631031,190,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-19,text,true,,159,154041,28,28,http://192.168.1.80:5000/upload,189,0,4
1636454631011,220,Medium text download 3,200,OK,Synthetic WL 4 static types 1-18,text,true,,153876,134,29,29,http://192.168.1.80:5000/volume/150.txt,112,0,0
1636454631050,182,Medium text upload 3,200,OK,Synthetic WL 4 static types 1-20,text,true,,159,154054,29,29,http://192.168.1.80:5000/upload,182,0,1
1636454631076,156,Medium text download 3,200,OK,Synthetic WL 4 static types 1-21,text,true,,153876,134,29,29,http://192.168.1.80:5000/volume/150.txt,142,0,0
1636454631091,163,Medium text upload 3,200,OK,Synthetic WL 4 static types 1-22,text,true,,159,154057,30,30,http://192.168.1.80:5000/upload,163,0,0
1636454631128,183,Medium text download 3,200,OK,Synthetic WL 4 static types 1-4,text,true,,153876,134,33,33,http://192.168.1.80:5000/volume/150.txt,181,0,1
1636454631128,188,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-24,text,true,,159,154056,33,33,http://192.168.1.80:5000/upload,188,0,1
1636454631109,216,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-23,text,true,,159,154047,33,33,http://192.168.1.80:5000/upload,216,0,2
1636454631189,221,Medium binary download 3,200,OK,Synthetic WL 4 static types 1-27,text,true,,153875,134,37,37,http://192.168.1.80:5000/volume/150.bin,132,0,0
1636454631211,203,Medium text download 3,200,OK,Synthetic WL 4 static types 1-28,text,true,,153876,134,37,37,http://192.168.1.80:5000/volume/150.txt,123,0,0
1636454631288,137,Medium binary upload 3,200,OK,Synthetic WL 4 static types 1-32,text,true,,159,154065,38,38,http://192.168.1.80:5000/upload,137,0,1
