procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0   4352 1136872 983616 2958972    0    0   121    38  532   25 17  9 73  0  0 2021-11-09 10:22:29
 1  0   4352 1135744 983624 2959584    0    0     0   616 5460 10712 24 13 63  0  0 2021-11-09 10:22:30
 0  0   4352 1135492 983624 2959404    0    0     0   444 2208 2280  8  4 87  0  0 2021-11-09 10:22:31
 0  0   4352 1131356 983624 2959696    0    0     0  1352 4333 5300 15  7 78  0  0 2021-11-09 10:22:32
 0  0   4352 1131500 983632 2959880    0    0     0  1360 3235 3708 16  6 69  9  0 2021-11-09 10:22:33
 1  0   4352 1131812 983644 2958728    0    0     0   844 1922 2191  5  3 92  0  0 2021-11-09 10:22:34
 2  0   4352 1132556 983644 2958372    0    0     0     0 3382 3483  8  6 87  0  0 2021-11-09 10:22:35
 0  0   4352 1129632 983644 2960912    0    0     0   756 3061 3208 10  5 85  0  0 2021-11-09 10:22:36
 1  0   4352 1129588 983644 2960600    0    0     0  1516 3392 4182 11  5 84  0  0 2021-11-09 10:22:37
 1  0   4352 1129168 983652 2961400    0    0     0   908 4842 6253 21  9 58 12  0 2021-11-09 10:22:38
 0  0   4352 1129704 983668 2960980    0    0     0   536 2034 1952  7  4 90  0  0 2021-11-09 10:22:39
 0  0   4352 1130780 983668 2960028    0    0     0   456 3287 3639  8  5 87  0  0 2021-11-09 10:22:40
 0  0   4352 1131080 983668 2958548    0    0     0   456 2225 1988  9  4 87  0  0 2021-11-09 10:22:41
 1  0   4352 1130900 983668 2958828    0    0     0  1208 2756 3492 10  5 86  0  0 2021-11-09 10:22:42
 0  0   4352 1127000 983676 2958956    0    0     0  1580 3646 4467 13  6 68 14  0 2021-11-09 10:22:43
 0  0   4352 1126840 983688 2958384    0    0     0   124 1817 2107  6  3 91  0  0 2021-11-09 10:22:44
 0  0   4352 1126804 983688 2958484    0    0     0   448 2237 2131  8  4 88  0  0 2021-11-09 10:22:45
 0  0   4352 1126676 983688 2958488    0    0     0   468 3059 3536  7  4 89  0  0 2021-11-09 10:22:46
 1  0   4352 1126060 983688 2958852    0    0     0  1052 2628 3131 10  4 86  0  0 2021-11-09 10:22:47
 0  0   4352 1126092 983696 2958732    0    0     0   864 4116 5666 12  7 67 14  0 2021-11-09 10:22:48
 2  0   4352 1127720 983708 2957228    0    0     4  3824 1912 1890  7  4 90  0  0 2021-11-09 10:22:49
 0  0   4352 1127280 983708 2957192    0    0     0   464 2599 2648 13  4 83  0  0 2021-11-09 10:22:50
 0  0   4352 1127336 983708 2956920    0    0     0   296 3060 3387  6  4 89  0  0 2021-11-09 10:22:51
 0  0   4352 1127224 983708 2957448    0    0     0   772 2643 3222 10  5 85  0  0 2021-11-09 10:22:52
 0  0   4352 1127216 983716 2957432    0    0     0  1352 2890 3399 14  6 66 14  0 2021-11-09 10:22:53
 0  0   4352 1127784 983724 2956888    0    0     0   192 3277 3657  6  4 89  0  0 2021-11-09 10:22:54
 0  0   4352 1127972 983724 2956960    0    0     0   152 2222 2167  6  5 90  0  0 2021-11-09 10:22:55
 0  0   4352 1127620 983724 2956932    0    0     0   456 3551 3870 10  5 85  0  0 2021-11-09 10:22:56
 0  0   4352 1128580 983724 2956876    0    0     0  1484 3976 4537 11  6 83  0  0 2021-11-09 10:22:57
 0  0   4352 1128020 983732 2957456    0    0     0  1432 3793 5113 14  7 67 13  0 2021-11-09 10:22:58
 0  0   4352 1128052 983740 2956960    0    0     0   376 2511 2568  5  4 91  0  0 2021-11-09 10:22:59
 1  0   4352 1128232 983740 2956896    0    0     0   592 2199 2387  8  4 89  0  0 2021-11-09 10:23:00
 0  0   4352 1127848 983740 2956824    0    0     0   152 2075 2066  6  4 90  0  0 2021-11-09 10:23:01
 0  0   4352 1127908 983740 2956804    0    0     0   908 3729 4767 10  5 85  0  0 2021-11-09 10:23:02
 0  1   4352 1127396 983748 2957464    0    0     0   928 3071 3705 14  6 67 14  0 2021-11-09 10:23:03
 0  0   4352 1127568 983760 2956936    0    0     0   432 2929 3440  5  4 91  0  0 2021-11-09 10:23:04
 0  0   4352 1127824 983760 2956892    0    0     0   600 2037 1924  6  4 90  0  0 2021-11-09 10:23:05
 0  0   4352 1127664 983760 2956892    0    0     0   588 3084 3358  8  5 88  0  0 2021-11-09 10:23:06
 0  0   4352 1127288 983760 2957916    0    0     0  1048 2631 2931  9  5 86  0  0 2021-11-09 10:23:07
 0  0   4352 1126924 983768 2958304    0    0     0  1504 3888 5357 12  6 69 13  0 2021-11-09 10:23:08
 0  0   4352 1127728 983776 2957048    0    0     0   196 1715 1696  6  3 91  0  0 2021-11-09 10:23:09
 0  0   4352 1128268 983776 2956916    0    0     0   904 2364 2398  8  4 88  0  0 2021-11-09 10:23:10
 0  0   4352 1128332 983776 2956964    0    0     0   940 2024 1791  7  3 90  0  0 2021-11-09 10:23:11
 0  0   4352 1128132 983776 2956916    0    0     0  1084 3409 4423  9  5 86  0  0 2021-11-09 10:23:12
