vmstat_r,vmstat_b,vmstat_swpd,vmstat_free,vmstat_buff,vmstat_cache,vmstat_si,vmstat_so,vmstat_bi,vmstat_bo,vmstat_in,vmstat_cs,vmstat_us,vmstat_sy,vmstat_id,vmstat_wa,vmstat_st,timestamp,iostat_disk_device,iostat_tps,iostat_kB_read/s,iostat_kB_wrtn/s,iostat_kB_read,iostat_kB_wrtn
12,0,4864,1044692,974696,2986532,0,0,111,39,644,263,17,9,73,0,0,1636451031,sdb,0.38,5.36,0.64,66913,7984
0,0,4864,1043152,974696,2988328,0,0,0,904,4039,8026,12,6,82,0,0,1636451032,sdb,0.0,0.0,0.0,0,0
0,0,4864,1053924,974708,2976564,0,0,0,884,3138,3412,9,6,85,0,0,1636451033,sdb,0.0,0.0,0.0,0,0
1,0,4864,1067548,974708,2976956,0,0,0,456,2648,2897,8,5,87,0,0,1636451034,sdb,0.0,0.0,0.0,0,0
0,0,4864,1066476,974708,2977824,0,0,0,760,2773,3642,6,4,90,0,0,1636451035,sdb,0.0,0.0,0.0,0,0
0,1,4864,1066536,974716,2977180,0,0,0,1248,3151,3778,10,6,70,15,0,1636451036,sdb,1.0,0.0,8.0,0,8
0,1,4864,1067420,974716,2976140,0,0,0,760,2872,3049,8,5,67,20,0,1636451037,sdb,1.0,0.0,24.0,0,24
0,0,4864,1067640,974724,2976076,0,0,0,892,2505,3204,7,4,88,1,0,1636451038,sdb,1.0,0.0,0.0,0,0
1,0,4864,1067408,974724,2976608,0,0,0,336,2871,3070,5,4,91,0,0,1636451039,sdb,0.0,0.0,0.0,0,0
1,0,4864,1048064,974724,2976512,0,0,0,816,4104,4446,12,5,83,0,0,1636451040,sdb,0.0,0.0,0.0,0,0
0,0,4864,1047040,974732,2976000,0,0,0,632,3246,3581,10,6,83,1,0,1636451041,sdb,2.0,0.0,24.0,0,24
0,0,4864,1047000,974732,2975940,0,0,0,1076,2470,2971,6,4,90,0,0,1636451042,sdb,1.0,0.0,12.0,0,12
1,0,4864,1046716,974740,2976044,0,0,0,388,3073,3432,8,5,87,0,0,1636451043,sdb,0.0,0.0,0.0,0,0
2,0,4864,1046244,974740,2976556,0,0,0,152,2139,2282,7,4,89,0,0,1636451044,sdb,0.0,0.0,0.0,0,0
1,0,4864,1046212,974740,2976464,0,0,0,608,1961,2299,7,5,88,0,0,1636451045,sdb,0.0,0.0,0.0,0,0
1,0,4864,1063804,974748,2975840,0,0,0,784,3035,3778,10,6,83,1,0,1636451046,sdb,2.0,0.0,24.0,0,24
0,0,4864,1063796,974748,2975860,0,0,0,620,3234,3993,8,5,88,0,0,1636451047,sdb,1.0,0.0,12.0,0,12
0,0,4864,1063668,974756,2975860,0,0,0,792,2150,2689,7,4,90,0,0,1636451048,sdb,0.0,0.0,0.0,0,0
3,0,4864,1063292,974756,2976348,0,0,0,456,2866,2854,8,5,87,0,0,1636451049,sdb,0.0,0.0,0.0,0,0
0,0,4864,1059732,974756,2976352,0,0,0,760,2340,2824,9,4,87,0,0,1636451050,sdb,0.0,0.0,0.0,0,0
1,0,4864,1060488,974772,2975832,0,0,0,804,3651,4540,11,6,82,1,0,1636451051,sdb,2.0,0.0,24.0,0,24
0,0,4864,1060944,974772,2975844,0,0,0,160,2225,2761,7,5,88,0,0,1636451052,sdb,1.0,0.0,8.0,0,8
0,0,4864,1060904,974780,2975848,0,0,0,992,3034,3256,7,4,89,0,0,1636451053,sdb,0.0,0.0,0.0,0,0
2,0,4864,1059392,974780,2977392,0,0,0,456,1793,1926,6,3,91,0,0,1636451054,sdb,0.0,0.0,0.0,0,0
0,0,4864,1059392,974780,2977392,0,0,0,304,1995,2693,6,4,91,0,0,1636451055,sdb,0.0,0.0,0.0,0,0
1,0,4864,1061148,974788,2975876,0,0,0,584,2758,3112,9,6,84,1,0,1636451056,sdb,2.0,0.0,24.0,0,24
1,0,4864,1061116,974788,2975892,0,0,0,924,2741,3949,7,4,90,0,0,1636451057,sdb,1.0,0.0,12.0,0,12
0,0,4864,1061108,974796,2975880,0,0,0,1100,2055,2085,10,3,87,0,0,1636451058,sdb,0.0,0.0,0.0,0,0
2,0,4864,1060884,974796,2976416,0,0,0,1252,3190,3414,7,5,88,0,0,1636451059,sdb,0.0,0.0,0.0,0,0
0,0,4864,1061036,974796,2976416,0,0,0,512,1900,2177,5,3,92,0,0,1636451060,sdb,0.0,0.0,0.0,0,0
2,0,4864,1061248,974804,2975904,0,0,0,1088,3461,4602,10,6,83,1,0,1636451061,sdb,2.0,0.0,24.0,0,24
0,0,4864,1061144,974804,2975892,0,0,0,912,2004,2266,6,4,91,0,0,1636451062,sdb,0.0,0.0,0.0,0,0
0,0,4864,1061272,974812,2975892,0,0,0,672,3335,3739,8,5,87,0,0,1636451063,sdb,1.0,0.0,12.0,0,12
