procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
12  0   4864 1044692 974696 2986532    0    0   111    39  644  263 17  9 73  0  0 2021-11-09 10:43:51
 0  0   4864 1043152 974696 2988328    0    0     0   904 4039 8026 12  6 82  0  0 2021-11-09 10:43:52
 0  0   4864 1053924 974708 2976564    0    0     0   884 3138 3412  9  6 85  0  0 2021-11-09 10:43:53
 1  0   4864 1067548 974708 2976956    0    0     0   456 2648 2897  8  5 87  0  0 2021-11-09 10:43:54
 0  0   4864 1066476 974708 2977824    0    0     0   760 2773 3642  6  4 90  0  0 2021-11-09 10:43:55
 0  1   4864 1066536 974716 2977180    0    0     0  1248 3151 3778 10  6 70 15  0 2021-11-09 10:43:56
 0  1   4864 1067420 974716 2976140    0    0     0   760 2872 3049  8  5 67 20  0 2021-11-09 10:43:57
 0  0   4864 1067640 974724 2976076    0    0     0   892 2505 3204  7  4 88  1  0 2021-11-09 10:43:58
 1  0   4864 1067408 974724 2976608    0    0     0   336 2871 3070  5  4 91  0  0 2021-11-09 10:43:59
 1  0   4864 1048064 974724 2976512    0    0     0   816 4104 4446 12  5 83  0  0 2021-11-09 10:44:00
 0  0   4864 1047040 974732 2976000    0    0     0   632 3246 3581 10  6 83  1  0 2021-11-09 10:44:01
 0  0   4864 1047000 974732 2975940    0    0     0  1076 2470 2971  6  4 90  0  0 2021-11-09 10:44:02
 1  0   4864 1046716 974740 2976044    0    0     0   388 3073 3432  8  5 87  0  0 2021-11-09 10:44:03
 2  0   4864 1046244 974740 2976556    0    0     0   152 2139 2282  7  4 89  0  0 2021-11-09 10:44:04
 1  0   4864 1046212 974740 2976464    0    0     0   608 1961 2299  7  5 88  0  0 2021-11-09 10:44:05
 1  0   4864 1063804 974748 2975840    0    0     0   784 3035 3778 10  6 83  1  0 2021-11-09 10:44:06
 0  0   4864 1063796 974748 2975860    0    0     0   620 3234 3993  8  5 88  0  0 2021-11-09 10:44:07
